,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
original_shape_MajorAxisLength,49.53340343840213
original_shape_Maximum2DDiameterColumn,68.30363799162257
original_shape_Maximum2DDiameterRow,67.04290399857766
original_shape_Maximum2DDiameterSlice,75.00724248885071
original_shape_Maximum3DDiameter,75.67308646820877
original_shape_MeshVolume,38465.90264638265
original_shape_MinorAxisLength,41.18341860775865
original_shape_Sphericity,0.3783137529167421
original_shape_SurfaceArea,14566.301009658562
original_shape_SurfaceVolumeRatio,0.37868085778635385
original_shape_VoxelVolume,38623.03161621094
