,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
diagnostics_Image-original_Hash,46352d857f06e592effcc043803c7b1a4dffef90
diagnostics_Image-original_Maximum,3071.0
diagnostics_Image-original_Mean,-768.0720393657684
diagnostics_Image-original_Minimum,-2048.0
diagnostics_Image-original_Size,"(512, 512, 240)"
diagnostics_Image-original_Spacing,"(0.8203120231628418, 0.8203120231628418, 1.25)"
diagnostics_Mask-original_BoundingBox,"(155, 306, 146, 76, 66, 36)"
diagnostics_Mask-original_CenterOfMass,"(-37.82282724479978, 83.22280725677012, -65.70873879472197)"
diagnostics_Mask-original_CenterOfMassIndex,"(194.16657852288654, 337.94799957690987, 163.63300896422243)"
diagnostics_Mask-original_Hash,795d46378bb7ae4ff7aed85d51ec74f000837699
diagnostics_Mask-original_Size,"(512, 512, 240)"
diagnostics_Mask-original_Spacing,"(0.8203120231628418, 0.8203120231628418, 1.25)"
diagnostics_Mask-original_VolumeNum,1
diagnostics_Mask-original_VoxelNum,75634
diagnostics_Versions_Numpy,1.26.4
diagnostics_Versions_PyRadiomics,v3.1.0
diagnostics_Versions_PyWavelet,1.6.0
diagnostics_Versions_Python,3.9.21
diagnostics_Versions_SimpleITK,2.4.0
original_firstorder_10Percentile,-736.0
original_firstorder_90Percentile,195.0
original_firstorder_Energy,11208293307.0
original_firstorder_Entropy,5.488485619145612
original_firstorder_InterquartileRange,452.0
original_firstorder_Kurtosis,3.2611947288583294
original_firstorder_Maximum,2378.0
original_firstorder_Mean,-142.48342015495678
original_firstorder_MeanAbsoluteDeviation,288.50380730889833
original_firstorder_Median,-17.0
original_firstorder_Minimum,-1024.0
original_firstorder_Range,3402.0
original_firstorder_RobustMeanAbsoluteDeviation,199.7117763423131
original_firstorder_RootMeanSquared,384.9561028736901
original_firstorder_Skewness,-0.79223603187573
original_firstorder_TotalEnergy,9427741245.172941
original_firstorder_Uniformity,0.0294673127107659
original_firstorder_Variance,127889.67612064512
original_glcm_Autocorrelation,1480.3151717386938
original_glcm_ClusterProminence,1254571.8200950946
original_glcm_ClusterShade,-14813.045412988315
