,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
diagnostics_Image-original_Hash,b2082b7e54ab77dfc4be320ed0185945aa53e677
diagnostics_Image-original_Maximum,3071.0
diagnostics_Image-original_Mean,-799.8209649399198
diagnostics_Image-original_Minimum,-2048.0
diagnostics_Image-original_Size,"(512, 512, 271)"
diagnostics_Image-original_Spacing,"(0.78125, 0.78125, 1.25)"
diagnostics_Mask-original_BoundingBox,"(106, 241, 91, 66, 42, 18)"
diagnostics_Mask-original_CenterOfMass,"(-101.58761073220445, 25.12940893355639, -191.16110065851365)"
diagnostics_Mask-original_CenterOfMassIndex,"(125.96785826277831, 264.35763562245216, 97.87111947318908)"
diagnostics_Mask-original_Hash,fd4a95977994434d23c5e3c91962a34b30400256
diagnostics_Mask-original_Size,"(512, 512, 271)"
diagnostics_Mask-original_Spacing,"(0.78125, 0.78125, 1.25)"
diagnostics_Mask-original_VolumeNum,3
diagnostics_Mask-original_VoxelNum,6378
diagnostics_Versions_Numpy,1.26.4
diagnostics_Versions_PyRadiomics,v3.1.0
diagnostics_Versions_PyWavelet,1.6.0
diagnostics_Versions_Python,3.9.21
diagnostics_Versions_SimpleITK,2.4.0
original_firstorder_10Percentile,-530.0
original_firstorder_90Percentile,134.0
original_firstorder_Energy,552003819.0
original_firstorder_Entropy,4.937651652613525
original_firstorder_InterquartileRange,258.0
original_firstorder_Kurtosis,4.775998065184429
original_firstorder_Maximum,392.0
original_firstorder_Mean,-99.38962057071183
original_firstorder_MeanAbsoluteDeviation,210.0042168315139
original_firstorder_Median,3.0
original_firstorder_Minimum,-1024.0
original_firstorder_Range,1416.0
original_firstorder_RobustMeanAbsoluteDeviation,125.58784207119783
original_firstorder_RootMeanSquared,294.19059439851134
original_firstorder_Skewness,-1.5341731955820905
original_firstorder_TotalEnergy,421145491.7907715
original_firstorder_Uniformity,0.04756487419861372
original_firstorder_Variance,76669.80915535933
original_glcm_Autocorrelation,1545.631748121929
original_glcm_ClusterProminence,609175.6230521937
original_glcm_ClusterShade,-10204.207766407884
original_glcm_ClusterTendency,324.74799704342973
