,Value
diagnostics_Configuration_EnabledImageTypes,{'Original': {}}
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Image-original_Dimensionality,3D
diagnostics_Image-original_Hash,0da193b8d3f75716577c948060870f3b99d5565e
diagnostics_Image-original_Maximum,3071.0
diagnostics_Image-original_Mean,-1051.8968794911177
diagnostics_Image-original_Minimum,-3024.0
diagnostics_Image-original_Size,"(512, 512, 291)"
diagnostics_Image-original_Spacing,"(0.703125, 0.703125, 1.25)"
diagnostics_Mask-original_BoundingBox,"(160, 299, 200, 39, 37, 14)"
diagnostics_Mask-original_CenterOfMass,"(-55.06833450076414, 41.27304349210391, -135.75929699439632)"
diagnostics_Mask-original_CenterOfMassIndex,"(177.68059093224656, 314.69943963321447, 207.19256240448294)"
diagnostics_Mask-original_Hash,5df08fde0f9e1eac38f95e7b4ebe4ec3760aeee2
diagnostics_Mask-original_Size,"(512, 512, 291)"
diagnostics_Mask-original_Spacing,"(0.703125, 0.703125, 1.25)"
diagnostics_Mask-original_VolumeNum,1
diagnostics_Mask-original_VoxelNum,7852
diagnostics_Versions_Numpy,1.26.4
diagnostics_Versions_PyRadiomics,v3.1.0
diagnostics_Versions_PyWavelet,1.6.0
diagnostics_Versions_Python,3.9.21
diagnostics_Versions_SimpleITK,2.4.0
original_firstorder_10Percentile,-838.0
original_firstorder_90Percentile,60.0
original_firstorder_Energy,1860884780.0
original_firstorder_Entropy,5.366429585438866
original_firstorder_InterquartileRange,672.25
original_firstorder_Kurtosis,1.6012577937177082
original_firstorder_Maximum,607.0
original_firstorder_Mean,-333.9719816607234
original_firstorder_MeanAbsoluteDeviation,322.1626078374534
original_firstorder_Median,-248.0
original_firstorder_Minimum,-1024.0
original_firstorder_Range,1631.0
original_firstorder_RobustMeanAbsoluteDeviation,274.942915740205
original_firstorder_RootMeanSquared,486.8213276903997
original_firstorder_Skewness,-0.3042436181431375
original_firstorder_TotalEnergy,1149991357.269287
original_firstorder_Uniformity,0.029270328120665313
original_firstorder_Variance,125457.72055985294
original_glcm_Autocorrelation,1024.1917985751807
original_glcm_ClusterProminence,705331.3328784183
original_glcm_ClusterShade,-7154.038589616079
original_glcm_ClusterTendency,632.2510578783563
